# STN;YYYYMMDD;wind;rain;snow;tunder;ice;covid_shock
240;20200116;90;0;0;0;0;0
240;20200116;100;0;0;0;0;0
240;20200116;90;0;0;0;0;0
240;20200116;70;0;0;0;0;0
240;20200116;80;0;0;0;0;0
240;20200117;70;0;0;0;0;0
240;20200117;60;0;0;0;0;0
240;20200117;70;0;0;0;0;0
240;20200117;70;0;0;0;0;0
240;20200117;70;0;0;0;0;0
240;20200117;60;0;0;0;0;0
240;20200117;60;0;0;0;0;0
240;20200117;70;0;0;0;0;0
240;20200117;50;1;0;0;0;0
240;20200117;50;1;0;0;0;0
240;20200117;50;1;0;0;0;0
240;20200117;60;1;0;0;0;0
240;20200117;60;1;0;0;0;0
240;20200117;70;1;0;0;0;0
240;20200117;80;0;0;0;0;0
240;20200117;90;0;0;0;0;0
240;20200117;100;0;0;0;0;0
240;20200117;90;1;0;0;0;0
240;20200117;100;1;0;0;0;0
240;20200117;80;1;0;0;0;0
240;20200117;90;1;0;0;0;0
240;20200117;70;0;0;0;0;0
240;20200117;60;0;0;0;0;0
240;20200117;60;1;0;0;0;0
240;20200118;50;1;0;0;0;0
240;20200118;50;0;0;0;0;0
240;20200118;60;0;0;0;0;0
240;20200118;40;1;0;0;0;0
240;20200118;60;1;0;0;0;0
240;20200118;50;0;0;0;0;0
240;20200118;50;0;0;0;0;0
240;20200118;30;1;0;0;0;0
240;20200118;50;0;0;0;0;0
240;20200118;60;0;0;0;0;0
240;20200118;80;0;0;0;0;0
240;20200118;70;0;0;0;0;0
240;20200118;90;0;0;0;0;0
240;20200118;50;0;0;0;0;0
240;20200118;30;1;1;1;0;0
240;20200118;30;1;0;0;0;0
240;20200118;30;1;0;0;0;0
240;20200118;40;0;0;0;0;0
240;20200118;30;1;0;0;0;0
240;20200118;40;0;0;0;0;0
240;20200118;40;1;0;0;0;0
240;20200118;30;1;0;0;0;0
240;20200118;40;1;0;0;0;0
240;20200118;30;1;0;0;0;0
240;20200119;20;1;0;0;0;0
240;20200119;40;0;0;0;0;0
240;20200119;40;1;0;0;0;0
240;20200119;40;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;40;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;50;0;0;0;0;0
240;20200119;60;0;0;0;0;0
240;20200119;60;0;0;0;0;0
240;20200119;30;1;0;0;0;0
240;20200119;40;0;0;0;0;0
240;20200119;20;0;0;0;0;0
240;20200119;20;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;20;0;0;0;0;0
240;20200119;20;0;0;0;0;0
240;20200119;30;0;0;0;0;0
240;20200119;10;0;0;0;0;0
240;20200119;10;0;0;0;0;0
240;20200120;20;0;0;0;0;0
240;20200120;20;0;0;0;1;0
240;20200120;20;0;0;0;1;0
240;20200120;10;0;0;0;1;0
240;20200120;10;0;0;0;0;0
240;20200120;20;0;0;0;0;0
240;20200120;0;0;0;0;0;0
240;20200120;20;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;40;0;0;0;0;0
240;20200120;40;0;0;0;0;0
240;20200120;40;0;0;0;0;0
240;20200120;40;0;0;0;0;0
240;20200120;40;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;20;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200120;30;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;10;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;50;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;20;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;20;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;50;0;0;0;0;0
240;20200121;50;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;50;0;0;0;0;0
240;20200121;40;0;0;0;0;0
240;20200121;30;0;0;0;0;0
240;20200121;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;30;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;30;1;0;0;0;0
240;20200122;20;1;0;0;0;0
240;20200122;20;1;0;0;0;0
240;20200122;30;1;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;20;0;0;0;0;0
240;20200122;10;0;0;0;0;0
240;20200122;10;1;0;0;0;0
240;20200122;0;0;0;0;0;0
240;20200122;0;0;0;0;0;0
240;20200122;10;1;0;0;0;0
240;20200122;10;1;0;0;0;0
240;20200122;10;1;0;0;0;0
240;20200122;10;1;0;0;0;0
240;20200122;10;1;0;0;0;0
240;20200122;10;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;0;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;30;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;30;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;10;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;30;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200123;20;0;0;0;0;0
240;20200124;20;0;0;0;0;0
240;20200124;20;0;0;0;0;0
240;20200124;20;0;0;0;0;0
240;20200124;30;0;0;0;0;0
240;20200124;20;0;0;0;0;0
240;20200124;30;0;0;0;0;0
